Open,High,Low,Close,Adj Close,Volume
176.14010620117188,176.4727020263672,176.07000732421875,176.34500122070312,176.34500122070312,504730
176.34500122070312,176.49000549316406,176.1999969482422,176.22999572753906,176.22999572753906,556276
176.24000549316406,176.27999877929688,176.0,176.02999877929688,176.02999877929688,503021
176.02099609375,176.10000610351562,175.8800048828125,176.02999877929688,176.02999877929688,437430
176.02999877929688,176.1199951171875,175.8800048828125,175.92990112304688,175.92990112304688,266794
175.92820739746094,176.22000122070312,175.88999938964844,176.0850067138672,176.0850067138672,405691
176.08999633789062,176.44000244140625,175.97000122070312,176.3800048828125,176.3800048828125,544513
176.38499450683594,176.77999877929688,176.36000061035156,176.7200927734375,176.7200927734375,580627
176.7200927734375,176.97000122070312,176.69000244140625,176.8925018310547,176.8925018310547,619712
176.89999389648438,176.94000244140625,176.8300018310547,176.8800048828125,176.8800048828125,289147
176.88499450683594,176.91000366210938,176.64999389648438,176.69000244140625,176.69000244140625,467235
176.68209838867188,176.6999969482422,176.52999877929688,176.5800018310547,176.5800018310547,357630
176.57839965820312,176.67909240722656,176.52999877929688,176.52999877929688,176.52999877929688,313641
176.5301055908203,176.57989501953125,176.41000366210938,176.4499969482422,176.4499969482422,326338
176.4499969482422,176.4499969482422,176.1300048828125,176.34010314941406,176.34010314941406,408357
176.33999633789062,176.35989379882812,176.1699981689453,176.2899932861328,176.2899932861328,288268
176.27999877929688,176.27999877929688,176.0399932861328,176.0782928466797,176.0782928466797,309156
176.07110595703125,176.5500030517578,176.06500244140625,176.52000427246094,176.52000427246094,408328
176.52999877929688,176.8000030517578,176.5,176.69500732421875,176.69500732421875,543347
176.69189453125,176.72999572753906,176.37860107421875,176.4199981689453,176.4199981689453,308649
176.4199981689453,176.47999572753906,176.2899932861328,176.32989501953125,176.32989501953125,293919
176.3300018310547,176.3699951171875,176.0800018310547,176.1300048828125,176.1300048828125,320539
176.14999389648438,176.22000122070312,176.05999755859375,176.18850708007812,176.18850708007812,303489
176.17999267578125,176.3000030517578,176.08999633789062,176.29930114746094,176.29930114746094,268458
176.2899932861328,176.31500244140625,176.0500030517578,176.07989501953125,176.07989501953125,246547
176.07000732421875,176.1580047607422,175.8800048828125,176.10000610351562,176.10000610351562,382610
176.08999633789062,176.33999633789062,176.08009338378906,176.19000244140625,176.19000244140625,569881
176.1699981689453,176.27029418945312,176.1020050048828,176.25999450683594,176.25999450683594,273466
176.27000427246094,176.35000610351562,176.14999389648438,176.24000549316406,176.24000549316406,460209
176.2449951171875,176.3675994873047,175.96009826660156,175.97999572753906,175.97999572753906,349109
175.97999572753906,176.07000732421875,175.92149353027344,175.97500610351562,175.97500610351562,244844
175.9600067138672,176.00999450683594,175.7404022216797,175.8800048828125,175.8800048828125,344294
175.8699951171875,175.93800354003906,175.67999267578125,175.72000122070312,175.72000122070312,298469
175.72000122070312,175.9199981689453,175.7100067138672,175.77499389648438,175.77499389648438,283253
175.7700958251953,175.89999389648438,175.66000366210938,175.8300018310547,175.8300018310547,330415
175.82000732421875,176.12899780273438,175.82000732421875,175.9499969482422,175.9499969482422,439225
175.9499969482422,176.02000427246094,175.72000122070312,175.7899932861328,175.7899932861328,380577
175.77999877929688,175.85000610351562,175.61000061035156,175.69000244140625,175.69000244140625,289846
175.67999267578125,175.7657928466797,175.50999450683594,175.63999938964844,175.63999938964844,410003
